"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"416",2005-02-19,20.2,0,1,"0",3,0,1
"417",2005-02-20,0.4,0,4,"1",4,2,2
"418",2005-02-21,0,0,2,"1",2,0,0
"419",2005-02-22,8.1,0,15,"4",9,0,0
"420",2005-02-23,2.6,4,5,"0",14,7,3
"421",2005-02-24,0.2,5,13,"13",8,5,3
"422",2005-02-25,0,0,12,"6",0,3,14
"423",2005-02-26,2.4,3,1,"0",12,0,7
"424",2005-02-27,0,0,3,"13",0,3,2
"425",2005-02-28,10.9,0,3,"1",2,0,0
"426",2005-03-01,0,1,2,"5",3,6,0
"427",2005-03-02,4.6,19,4,"31",6,55,3
"428",2005-03-03,84.7,2,6,"15",1,16,30
"429",2005-03-04,0,6,5,"0",26,0,2
"430",2005-03-05,0,5,25,"44",5,25,8
"431",2005-03-06,0,0,4,"4",0,11,5
"432",2005-03-07,0,0,11,"1",11,4,16
"433",2005-03-08,37.5,2,11,"0",45,3,12
"434",2005-03-09,0,15,16,"78",30,28,15
"435",2005-03-10,0,15,11,"7",11,5,12
"436",2005-03-11,0,12,9,"49",8,21,35
"437",2005-03-12,0,17,10,"12",0,6,21
"438",2005-03-13,0,7,28,"3",10,13,55
"439",2005-03-14,0,0,13,"2",1,3,6
"440",2005-03-15,0,11,77,"0",0,2,22
"441",2005-03-16,0,2,18,"5",20,3,8
"442",2005-03-17,2,6,35,"7",22,0,10
"443",2005-03-18,20.1,26,38,"72",6,22,36
"444",2005-03-19,9.6,11,41,"12",50,3,17
"445",2005-03-20,22.9,1,21,"25",6,16,41
"446",2005-03-21,0.9,0,36,"53",0,27,4
"447",2005-03-22,0,6,1,"10",15,1,5
"448",2005-03-23,31.6,0,17,"66",0,69,12
"449",2005-03-24,1.5,5,1,"0",1,0,0
"450",2005-03-25,0,0,3,"1",0,2,15
"451",2005-03-26,74.9,0,1,"0",0,0,0
"452",2005-03-27,12.4,0,0,"0",0,0,0
"453",2005-03-28,35.5,1,1,"0",0,0,7
"454",2005-03-29,0,0,10,"1",2,0,0
"455",2005-03-30,39,2,0,"0",1,0,0
"456",2005-03-31,0.7,54,1,"2",2,3,14
"457",2005-04-01,0,7,6,"3",8,2,11
"458",2005-04-02,0,0,16,"2",8,11,19
"459",2005-04-03,3.6,0,62,"17",0,0,0
"460",2005-04-04,0,0,0,"0",19,0,0
"461",2005-04-05,50.8,15,34,"32",0,6,12
"462",2005-04-06,0,26,13,"12",23,0,65
"463",2005-04-07,15.2,3,30,"8",98,19,20
"464",2005-04-08,9,27,119,"21",0,34,66
"465",2005-04-09,0,18,1,"0",12,25,0
"466",2005-04-10,0,0,6,"4",0,4,13
"467",2005-04-11,0,6,0,"0",7,0,3
"468",2005-04-12,0,7,14,"2",7,2,0
"469",2005-04-13,0.5,0,17,"1",0,1,20
"470",2005-04-14,1.1,0,1,"0",0,0,0
"471",2005-04-15,0,0,0,"0",0,0,12
"472",2005-04-16,0.3,0,0,"0",0,0,0
"473",2005-04-17,11.8,0,0,"0",0,0,3
"474",2005-04-18,0,8,0,"0",0,0,0
"475",2005-04-19,0,0,0,"0",56,0,2
"476",2005-04-20,8.6,25,36,"20",19,13,34
"477",2005-04-21,3.3,3,30,"17",3,16,5
"478",2005-04-22,0,4,1,"6",0,0,3
"479",2005-04-23,13.4,17,13,"0",17,19,3
"480",2005-04-24,0,4,3,"12",3,17,0
"481",2005-04-25,19.1,8,2,"14",1,16,3
"482",2005-04-26,3.8,0,12,"0",0,0,0
"483",2005-04-27,42,0,0,"0",0,0,0
"484",2005-04-28,135.6,0,0,"0",0,0,0
"485",2005-04-29,2.9,0,0,"0",0,2,0
"486",2005-04-30,21.2,13,0,"0",23,9,1
"487",2005-05-01,40.6,0,33,"6",28,29,1
"488",2005-05-02,3.9,0,0,"0",0,9,0
"489",2005-05-03,47.3,0,0,"2",5,28,0
"490",2005-05-04,10,23,3,"1",9,0,4
"491",2005-05-05,1.8,0,13,"12",4,5,10
"492",2005-05-06,13.3,9,1,"2",3,0,0
"493",2005-05-07,8.8,16,0,"0",0,0,16
"494",2005-05-08,14,1,0,"0",0,0,0
"495",2005-05-09,0,0,0,"0",4,0,17
"496",2005-05-10,0,0,0,"0",0,0,0
"497",2005-05-11,1.9,0,0,"0",0,0,0
"498",2005-05-12,10.8,0,0,"0",0,0,0
"499",2005-05-13,0,0,0,"0",0,0,0
"500",2005-05-14,0,0,0,"0",0,0,1
"501",2005-05-15,2.6,0,0,"0",0,0,0
"502",2005-05-16,0,0,0,"0",0,0,0
"503",2005-05-17,0,0,0,"0",0,0,0
"504",2005-05-18,0,0,0,"0",0,0,0
"505",2005-05-19,0,3,0,"0",0,0,0
"506",2005-05-20,0,0,0,"0",0,0,25
"507",2005-05-21,0,0,0,"0",0,0,55
"508",2005-05-22,NA,0,0,"0",0,0,1
"509",2005-05-23,26.5,0,0,"0",0,0,0
"510",2005-05-24,6.4,0,0,"0",0,0,0
"511",2005-05-25,21.7,0,0,"0",0,0,0
"512",2005-05-26,0,1,0,"0",0,0,0
"513",2005-05-27,0,0,0,"0",0,0,0
"514",2005-05-28,0,0,0,"0",0,0,2
"515",2005-05-29,0,0,0,"0",0,0,0
"516",2005-05-30,0,0,0,"0",0,0,0
"517",2005-05-31,1,0,0,"0",0,0,0
"518",2005-06-01,0,0,0,"0",0,0,0
"519",2005-06-02,0,0,0,"0",0,0,0
"520",2005-06-03,0,0,0,"0",0,0,0
"521",2005-06-04,0,0,0,"0",0,0,12
"522",2005-06-05,8.2,0,0,"0",0,0,0
"523",2005-06-06,0,0,0,"0",1,0,0
"524",2005-06-07,0,0,0,"0",0,0,0
"525",2005-06-08,0,0,0,"0",0,0,0
"526",2005-06-09,0,0,0,"0",0,0,0
"527",2005-06-10,0,4,0,"0",0,0,4
"528",2005-06-11,4.5,0,20,"3",22,18,5
"529",2005-06-12,9.7,0,0,"0",0,0,0
"530",2005-06-13,0,0,1,"0",2,0,1
"531",2005-06-14,0,0,2,"0",0,0,0
"532",2005-06-15,0,0,0,"0",0,0,0
